"ensembl_gene_id","hgnc_symbol","Control-1","Control-2","Control-3","PNA-10b-1","PNA-10b-2","PNA-10b-3","PNA-21-1","PNA-21-2","PNA-21-3","PNA-10b+21-1","PNA-10b+21-2","PNA-10b+21-3"
"ENSG00000149716","LTO1",65.414231041693,70.1534960684562,64.1286142301483,72.560100817698,69.437269826352,65.0601869512903,66.2717173068333,64.1525954496338,67.8632071846625,71.8621907031168,67.5891312675247,70.396140390792
"ENSG00000149743","TRPT1",40.7410318718047,32.3876291874591,31.5373336732335,31.2633700917937,31.6161186017858,34.439944969403,34.4283921469896,36.6488763366525,36.5986012287713,34.6703551637844,33.3712516592267,35.6062547739331
"ENSG00000149761","NUDT22",51.5649693823007,47.8722256237991,46.0493715331532,47.9856378153113,46.0354325061517,48.5916314477395,49.4100303679493,54.4614586902211,45.1013065647484,49.1115609510137,48.0461361097958,49.4217328167291
"ENSG00000149781","FERMT3",15.9333738508543,13.7706525559817,14.9984748831573,19.3396661498073,18.3787156731876,18.4723341199525,16.2741717145326,16.4476335142146,14.5760662902466,15.5300268584886,14.3221228051227,15.1970258470755
"ENSG00000149782","PLCB3",145.551706274682,149.645031209209,147.633636552592,155.444384316872,143.77947020214,152.975973745912,152.577703764048,147.209732324319,131.976774127993,155.071043096199,149.006519036547,150.400317784074
"ENSG00000149792","MRPL49",56.1365703184108,55.4963208157375,54.8863107886351,55.9832441178632,60.6320330568827,54.4151130516567,57.5764919864331,59.853006605669,58.0402059890615,61.4897373400673,61.733287953115,56.4550670930615
"ENSG00000149806","FAU",115.769070764435,102.4820237428,92.5041072523378,106.731691383147,107.435707697283,109.268552675651,117.268038780531,116.566630880824,103.35275989135,110.314766430223,113.73035449191,103.992871085773
"ENSG00000149809","TM7SF2",5.51281289354453,4.4326134836851,4.37793320913781,5.01668031705527,4.55035725670562,3.88232106927815,5.81640072107845,5.18680558954486,6.02054911988445,6.64753917189916,6.42026194712396,5.71458409952013
"ENSG00000149823","VPS51",46.8589095951285,49.1133573992309,49.2112121841972,43.1143685219388,49.3447832383012,49.906611164753,51.4075821307439,52.0727982213517,50.5409255063984,54.0399089577665,50.2332583115633,54.0687572493059
"ENSG00000149922","TBX6",1.88242391486886,2.06855295905305,2.1889666045689,2.03575433155866,2.00924865880508,1.44021588053867,2.11505480766489,2.38866046886935,2.74621538801747,2.40686763120487,1.97546521449968,2.26071458882115
"ENSG00000149923","PPP4C",147.837506742737,137.115510428659,126.311480367346,147.95571659721,145.138667824273,149.657215412497,165.385535654907,172.393038410399,153.101507881974,163.666998921931,167.138467612491,166.03692702342
"ENSG00000149925","ALDOA",38.7913785314048,42.9668000351876,40.1310544170966,32.7901858404627,39.2394443954874,41.1400797179959,33.4883677880274,29.2099051621737,27.8846485552543,29.1116370631446,30.4786061665665,30.3312540666838
"ENSG00000149926","TLCD3B",1.47904736168268,1.53663934101084,2.27003944177516,1.38140472498623,1.00462432940254,0.876653144675712,1.52753958331353,1.569691165257,1.21467219085388,1.77649753731788,1.97546521449968,1.56994068668136
"ENSG00000149927","DOC2A",1.34458851062062,0.945624209852822,1.29716539530009,0.94517165393795,1.12281542697931,0.438326572337856,1.05752740383245,0.61422697770926,1.26748402523883,0.744982838230079,0.917180278160565,1.31875017681234
"ENSG00000149929","HIRIP3",30.7238474676811,29.9053656365955,32.7534262313273,34.171590565449,36.4619536024334,33.4380556612022,36.2496893424788,34.1919684258155,32.9545846562096,35.2434188854999,34.6411935828337,31.5872066160289
"ENSG00000149930","TAOK2",111.802534658104,111.169946170822,115.934157204946,108.912856738388,99.8123819035818,110.45829622914,107.750292146039,102.985389929253,102.666206044345,116.847692857779,103.923580748501,105.814002282323
"ENSG00000149932","TMEM219",93.0455249349467,89.9525029622497,87.9640283687875,82.5934614518086,87.8750810483281,89.230766511635,84.2496831719848,80.0542494281069,79.6930580868916,81.2031293670786,79.7946841999692,78.6226295890023
"ENSG00000149948","HMGA2",404.317765143619,453.131301058849,331.263612824761,409.477442690657,482.987920247468,506.517663377274,466.780845747154,542.771905969083,474.672767451943,458.680202861042,398.6206593544,463.886074100607
